Product,Return_Reason,Category,Cleaned_Reason
Laptop,Issue: Dent on product,Damaged Product,issue dent product
Phone,Product has Battery overheats,Battery Issue,product battery overheats
T-Shirt,Product has Received another product,Wrong Item,product received another product
Power Bank,Neck too tight,Size Issue,neck tight
Bluetooth Speaker,Different model received after first use,Wrong Item,different model received first use
Water Bottle,Product has Package arrived after event after first use,Delivery Delay,product package arrived event first use
Helmet,Left earbud not working after first use,Quality Issue,left earbud working first use
Power Bank,Received Design color mismatch,Color Mismatch,received design color mismatch
Kurti,Different design received,Wrong Item,different design received
Smartwatch,Product has Color looks different,Color Mismatch,product color look different
Headphones,Issue: Expected black got blue,Color Mismatch,issue expected black got blue
Sandals,Received Shade not matching during use,Color Mismatch,received shade matching use
Water Bottle,Received Delivery rescheduled during use,Delivery Delay,received delivery rescheduled use
Handbag,Button came off,Quality Issue,button came
Chair,Product has Incorrect size sent,Wrong Item,product incorrect size sent
Shirt,Fabric quality poor,Quality Issue,fabric quality poor
Laptop,Stand missing,Missing Parts,stand missing
Chair,Issue: Incorrect product after first use,Wrong Item,issue incorrect product first use
Headphones,Image misleading,Color Mismatch,image misleading
Keyboard,Battery swollen,Battery Issue,battery swollen
Keyboard,One part missing after first use,Missing Parts,one part missing first use
Kurti,Issue: Power issue after first use,Battery Issue,issue power issue first use
Table,Product has Won't hold charge during use,Battery Issue,product wont hold charge use
Headphones,Issue: Color different from image after first use,Color Mismatch,issue color different image first use
Water Bottle,Product has Left earbud not working,Quality Issue,product left earbud working
Water Bottle,Issue: Scratched item during use,Damaged Product,issue scratched item use
Jeans,Received Delivered too late,Delivery Delay,received delivered late
Table,Wrong variant delivered,Wrong Item,wrong variant delivered
Handbag,Issue: Charging very slow,Battery Issue,issue charging slow
Bluetooth Speaker,Issue: Handle broke after first use,Quality Issue,issue handle broke first use
Water Bottle,Issue: One part missing during use,Missing Parts,issue one part missing use
Kurti,Issue: Neck too tight after first use,Size Issue,issue neck tight first use
Keyboard,Received Broken on arrival after first use,Damaged Product,received broken arrival first use
Phone,Received Battery overheats,Battery Issue,received battery overheats
Smartwatch,Received Zip not working,Quality Issue,received zip working
Mouse,Product has Delivery rescheduled,Delivery Delay,product delivery rescheduled
Shirt,Product has Charging very slow,Battery Issue,product charging slow
Table,Product has Won't hold charge after first use,Battery Issue,product wont hold charge first use
Kurti,Too loose after first use,Size Issue,loose first use
Keyboard,Issue: Incorrect size sent,Wrong Item,issue incorrect size sent
Shoes,Product has Waist too tight during use,Size Issue,product waist tight use
Phone,Product has Delivery rescheduled during use,Delivery Delay,product delivery rescheduled use
Electric Kettle,Product has Won't hold charge,Battery Issue,product wont hold charge
Bedsheet,Received Incorrect size sent during use,Wrong Item,received incorrect size sent use
Backpack,Issue: Zip not working after first use,Quality Issue,issue zip working first use
Laptop,Poor stitching,Quality Issue,poor stitching
Helmet,Remote missing after first use,Missing Parts,remote missing first use
Helmet,Delayed by one week,Delivery Delay,delayed one week
Mouse,Product has Fabric quality poor,Quality Issue,product fabric quality poor
Keyboard,Issue: Ordered medium received small,Size Issue,issue ordered medium received small
Smartwatch,Product has Neck too tight during use,Size Issue,product neck tight use
Table,One part missing,Missing Parts,one part missing
Bluetooth Speaker,Issue: Remote missing after first use,Missing Parts,issue remote missing first use
Helmet,Left earbud not working during use,Quality Issue,left earbud working use
Shirt,Received another product,Wrong Item,received another product
Shirt,Issue: Handle broke after first use,Quality Issue,issue handle broke first use
Water Bottle,Image misleading after first use,Color Mismatch,image misleading first use
Bluetooth Speaker,Received Stand missing,Missing Parts,received stand missing
Water Bottle,Stand missing,Missing Parts,stand missing
Smartwatch,Cable missing,Missing Parts,cable missing
Water Bottle,Needed earlier,Delivery Delay,needed earlier
Mixer,Late shipment,Delivery Delay,late shipment
Sandals,Remote missing after first use,Missing Parts,remote missing first use
T-Shirt,Product has Needed earlier,Delivery Delay,product needed earlier
Chair,One part missing,Missing Parts,one part missing
Handbag,Charging very slow,Battery Issue,charging slow
Helmet,Issue: Battery swollen,Battery Issue,issue battery swollen
Headphones,Received Left earbud not working,Quality Issue,received left earbud working
Backpack,Ordered medium received small,Size Issue,ordered medium received small
Jeans,Product has Different design received during use,Wrong Item,product different design received use
Laptop,Delivered too late,Delivery Delay,delivered late
Helmet,Damaged during delivery,Damaged Product,damaged delivery
